Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2025-06-04,"ONLINE","ARIA BELA",https://www.shazam.com/track/819719427/online,819719427
2,2025-06-04,"19-2000","Gorillaz",https://www.shazam.com/track/5167013/19-2000,5167013
3,2025-06-04,"hotline (edit)","Billie Eilish",https://www.shazam.com/track/429875205/hotline-edit,429875205
4,2025-06-04,"Wicked Game","Chris Isaak",https://www.shazam.com/track/11235461/wicked-game,11235461
5,2025-06-03,"La Camisa Negra","Juanes",https://www.shazam.com/track/54384337/la-camisa-negra,54384337
6,2025-06-03,"Chola Challenege","Jailblazer",https://www.shazam.com/track/668453286/chola-challenege,668453286
7,2025-06-01,"Washing Machine Heart","Mitski",https://www.shazam.com/track/414705490/washing-machine-heart,414705490
8,2025-05-31,"24/7","Matisse",https://www.shazam.com/track/706762748/24-7,706762748
9,2025-05-31,"Stolen Dance","Milky Chance",https://www.shazam.com/track/101415335/stolen-dance,101415335
10,2025-05-31,"Cuento","Ximena Sariñana",https://www.shazam.com/track/377611468/cuento,377611468
11,2025-05-30,"Uzumaki","Machine Girl",https://www.shazam.com/track/383183871/uzumaki,383183871
12,2025-05-30,"Heather","Conan Gray",https://www.shazam.com/track/505112508/heather,505112508
13,2025-05-29,"Мой мармеладный (Я не права)","Katya Lel",https://www.shazam.com/track/45389104/%D0%BC%D0%BE%D0%B9-%D0%BC%D0%B0%D1%80%D0%BC%D0%B5%D0%BB%D0%B0%D0%B4%D0%BD%D1%8B%D0%B9-%D1%8F-%D0%BD%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%B0,45389104
14,2025-05-28,"Estoy Más Sohloh Que Ayer, Pero Menos Que Mañana (En Vivo)","PXNDX",https://www.shazam.com/track/45905290/estoy-m%C3%A1s-sohloh-que-ayer-pero-menos-que-ma%C3%B1ana-en-vivo,45905290
15,2025-05-26,"Chapstick","wet ass penis orchestra",https://www.shazam.com/track/648650371/chapstick,648650371
16,2025-05-26,"Undertow","Sage Guyton & Jeremy Wakefield",https://www.shazam.com/track/674356678/undertow,674356678
